id,name,address,date,status,link
128,"DAE ENGINEERING","Geylang East Avenue 3, 389730",2008-12-16,Registered,https://opencorpdata.com/sg/53124614X
129,"AIR NATION ENGINEERING","Fernvale Link, 792470",2009-01-06,Registered,https://opencorpdata.com/sg/53132787J
130,"GLOBAL PLASTIC AND ENGINEERING","Jalan Taman, 329022",2008-09-11,Registered,https://opencorpdata.com/sg/52899557W
131,"HS ENGINEERING (MIDDLE EAST) PTE. LTD.","Tuas Crescent, 638719",2010-09-02,Registered,https://opencorpdata.com/sg/201018561M
132,"KAIDA ENGINEERING & SERVICES PTE. LTD.","Bedok Industrial Park E, 489978",2015-12-22,Registered,https://opencorpdata.com/sg/201543825Z
133,"INTEGRA ENGINEERING PTE. LTD.","Chai Chee Lane, 469028",2008-09-10,Registered,https://opencorpdata.com/sg/199505143C
134,"KOK TONG TRANSPORT & ENGINEERING WORKS PTE LTD","Pandan Crescent, 128476",2008-09-11,Registered,https://opencorpdata.com/sg/199904117E
135,"ULTRAREX ENGINEERING & TRADING PTE. LTD.","Tagore Lane, 787559",2008-09-09,Registered,https://opencorpdata.com/sg/198204573E
136,"HWATEO ENGINEERING PTE. LTD.","Middle Road, 188975",2010-01-20,Registered,https://opencorpdata.com/sg/201001515Z
137,"AIRGATE ENGINEERING","Kaki Bukit Place, 416185",2008-09-11,Registered,https://opencorpdata.com/sg/52855086A
138,"BINTAI ENGINEERING & MAINTENANCE SERVICES PTE. LTD.","Rochor Road, 188425",2008-09-10,Registered,https://opencorpdata.com/sg/198900825G
139,"BME CONSTRUCTION & ENGINEERING PTE. LTD.","Admiralty Street, 757437",2016-11-11,Registered,https://opencorpdata.com/sg/201630983E
140,"YONG MING MARINE & ENGINEERING PTE. LTD.","Puay Hee Avenue, 348176",2008-09-13,Registered,https://opencorpdata.com/sg/200608363D
141,"UNITED TOOLING & ENGINEERING","Woodlands Link, 738733",2008-09-12,Registered,https://opencorpdata.com/sg/53016748D
142,"FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD","Admiralty Street, 757695",2008-09-12,Registered,https://opencorpdata.com/sg/200105052H
143,"SHENG YONG ELECTRICAL ENGINEERING (S) PTE. LTD.","Kaki Bukit Avenue 4, 415875",2014-09-20,Registered,https://opencorpdata.com/sg/201427933K
144,"PSG ENGINEERING PTE. LTD.","Hougang Avenue 10, 530413",2015-01-14,Registered,https://opencorpdata.com/sg/201501229K
145,"SHENG WANG ENGINEERING PTE. LTD.","Petir Road, 670151",2014-04-09,Registered,https://opencorpdata.com/sg/201410181D
146,"LOOPS ENGINEERING & TRADING","Bukit Batok Crescent, 658064",2013-03-22,Registered,https://opencorpdata.com/sg/53233386A
147,"FLASKY ENGINEERING PTE. LTD.","Bukit Batok Street 24, 659480",2008-09-10,Registered,https://opencorpdata.com/sg/199000968W
148,"HUGE-TECH ELECTRICAL & ENGINEERING SERVICES","Tampines Street 93, 528843",2008-09-10,Registered,https://opencorpdata.com/sg/41643000K
149,"PAK NAM ENGINEERING WORKS","Sing Avenue, 217872",2008-09-10,Registered,https://opencorpdata.com/sg/45167400J
150,"MEGLOW ENGINEERING PTE. LTD.","Yishun Industrial Street 1, 768091",2014-04-03,Registered,https://opencorpdata.com/sg/201409580Z
151,"ENGINEERING CORPORATION SINGAPORE PTE. LTD.","Bukit Merah Central, 159836",2013-10-31,Registered,https://opencorpdata.com/sg/201329332C
152,"ASET ENGINEERS PTE. LTD.","Redhill Lane, 150084",2012-01-06,Registered,https://opencorpdata.com/sg/201200507Z
153,"POHWELL ENGINEERING PTE LTD","Pandan Loop, 128341",2008-09-10,Registered,https://opencorpdata.com/sg/199606929W
154,"PACIFIC OILFIELD ENGINEERING PTE. LTD.","Soon Lee Street, 627608",2008-09-13,Registered,https://opencorpdata.com/sg/200610239D
155,"UNIFY ENGINEERING PTE LTD","Kaki Bukit Industrial Terrace, 416151",2008-09-09,Registered,https://opencorpdata.com/sg/198403881K
156,"GLOBAL ENGINEERING TECHNOLOGY PTE. LTD.","North Bridge Road, 188778",2008-09-13,Registered,https://opencorpdata.com/sg/200711018W
157,"DSOON ENGINEERING PTE. LTD.","Woodlands Industrial Park E5, 757322",2015-02-10,Registered,https://opencorpdata.com/sg/201503212N
158,"SKILLTEC PRECISION ENGINEERING PTE LTD","Woodlands Link, 738733",2008-09-12,Registered,https://opencorpdata.com/sg/200005894N
159,"DATCO ENGINEERING (S) PTE. LTD.","Genting Lane, 349565",2013-07-23,Registered,https://opencorpdata.com/sg/201319852C
160,"EZY ENGINEERING & CONSTRUCTION","Balestier Road, 329876",2008-09-10,Registered,https://opencorpdata.com/sg/47927900D
161,"RICHTECH ENGINEERING DESIGN & FABRICATION SERVICES","Edgefield Plains, 820114",2012-09-28,Registered,https://opencorpdata.com/sg/53223412W
162,"VL SUPPLIES AND ENGINEERING","Bukit Batok Street 23, 659527",2008-09-11,Registered,https://opencorpdata.com/sg/52908044C
163,"CONIC ENGINEERING AND TRADING PTE. LTD.","Tagore Industrial Avenue, 787805",2008-09-12,Registered,https://opencorpdata.com/sg/200308709Z
164,"WUSHU ENGINEERS SINGAPORE","Pasir Ris Street 71, 510750",2014-07-08,Registered,https://opencorpdata.com/sg/53266888W
165,"YHC CONSULTANTS AND ENGINEERING PTE. LTD.","Yuan Ching Road, 618643",2015-04-24,Registered,https://opencorpdata.com/sg/201510967D
166,"Singapore Institute of Engineering Technologists, The","Duxton Road, 089527",2008-08-28,Registered,https://opencorpdata.com/sg/S80SS0096E
167,"BMC ENGINEERING","Geylang Bahru, 330097",2008-09-13,Registered,https://opencorpdata.com/sg/53094019A
168,"PANTEC ENGINEERING PTE. LTD.","Ang Mo Kio Industrial Park 2a, 567760",2008-09-12,Registered,https://opencorpdata.com/sg/200305546Z
169,"GUAN SOON HENG MARINE ENGINEERING PTE. LTD.","Ubi Avenue 3, 408868",2008-09-13,Registered,https://opencorpdata.com/sg/200706130N
170,"GEMA ENGINEERING SERVICES PTE. LTD.","Balestier Road, 320002",2015-08-19,Registered,https://opencorpdata.com/sg/201532097Z
171,"JINYUE ALUMINIUM ENGINEERING (SINGAPORE) PTE. LTD.","Bukit Batok Crescent, 658070",2008-09-13,Registered,https://opencorpdata.com/sg/200610467H
172,"MAXISTON ENGINEERING PTE. LTD.","Kaki Bukit Avenue 4, 415875",2012-04-06,Registered,https://opencorpdata.com/sg/201208530M
173,"WAVES FLUID ENGINEERING","Sin Ming Lane, 573969",2017-09-04,Registered,https://opencorpdata.com/sg/53369649J
174,"TECK HOCK CONSTRUCTION ENGINEERING PTE. LTD.","Thong Soon Avenue, 787436",2008-12-19,Registered,https://opencorpdata.com/sg/200817945R
175,"CHIN YIP ENGINEERING PTE. LTD.","Coleman Street, 179803",2012-12-07,Registered,https://opencorpdata.com/sg/201229881D
176,"OES ENGINEERING PTE. LTD.","Balestier Road, 320002",2008-09-13,Registered,https://opencorpdata.com/sg/200718770D
177,"SHANGHAI BOJI CURTAIN WALL ENGINEERING CO., LTD (SINGAPORE BRANCH)","Loyang Way, 508724",2009-07-02,Registered,https://opencorpdata.com/sg/T09FC0076A
178,"CTS ENGINEERING SOLUTIONS PTE. LTD.","Simei Street 3, 529892",2015-07-07,Registered,https://opencorpdata.com/sg/201528110R
179,"YONG LAI ELECTRICAL ENGINEERING","Jurong East Street 21, 600219",2008-09-10,Registered,https://opencorpdata.com/sg/49919100E
180,"LIAN HUAH ENGINEERING PTE LTD","Jalan Pemimpin, 577184",2008-09-09,Registered,https://opencorpdata.com/sg/198201105K
181,"JKM ENGINEERS PTE. LTD.","Neythal Road, 628588",2008-09-12,Registered,https://opencorpdata.com/sg/200406240K
